
Attaching file multidimfit.root as _file0...
(TFile *) 0x2286fe0

  RooFitResult: minimized FCN value: -6.28908, estimated distance to minimum: 3.02039e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  prop_binY17_bin80_fmn   -1.6394e-03 +/-  1.68e-01
  prop_binY17_bin80_fpl    2.2849e-03 +/-  1.68e-01
  prop_binY17_bin80_gam    5.0095e+00 +/-  1.59e+00
     prop_binY17_bin81    5.1955e-03 +/-  1.68e-01
     prop_binY17_bin82   -1.2676e-04 +/-  1.68e-01
     prop_binY17_bin83   -1.0013e-03 +/-  1.68e-01
     prop_binY17_bin84    3.7425e-05 +/-  1.68e-01
     prop_binY17_bin85    1.3716e-03 +/-  1.68e-01
     prop_binY17_bin86    1.3646e-03 +/-  1.68e-01
     prop_binY17_bin87   -2.1307e-03 +/-  1.68e-01
  prop_binY17_bin88_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin88_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin88_alpha    3.0000e+00 +/-  1.21e+00
  prop_binY17_bin88_fmn    3.0019e+00 +/-  1.21e+00
  prop_binY17_bin88_fpl    2.9965e+00 +/-  1.21e+00
  prop_binY17_bin89_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin89_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin89_alpha    2.9053e-04 +/-  1.68e-01
  prop_binY17_bin89_dy_gg    4.0025e+00 +/-  1.41e+00
  prop_binY17_bin89_fmn   -6.9400e-03 +/-  1.68e-01
  prop_binY17_bin89_fpl    9.3330e-03 +/-  1.68e-01
  prop_binY17_bin89_gam    2.0125e+00 +/-  9.80e-01
      prop_binY17_bin9    3.4516e-02 +/-  1.68e-01
     prop_binY17_bin90    8.8779e-03 +/-  1.68e-01
     prop_binY17_bin91   -2.3881e-03 +/-  1.68e-01
     prop_binY17_bin92    5.4137e-04 +/-  1.68e-01
     prop_binY17_bin93   -4.0443e-03 +/-  1.68e-01
     prop_binY17_bin94   -3.0128e-03 +/-  1.68e-01
  prop_binY17_bin95_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin95_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin95_alpha    3.0000e+00 +/-  1.21e+00
  prop_binY17_bin95_fmn    2.9998e+00 +/-  1.21e+00
  prop_binY17_bin95_fpl    3.0014e+00 +/-  1.21e+00
